feature,shap_importance
flag,2.2604088159863007
service,1.8920129016092635
dst_host_srv_count,1.83598225089611
count,1.3816320598944867
dst_host_srv_serror_rate,1.0280362461814998
dst_host_serror_rate,0.9345583904866267
logged_in,0.9154264210120179
same_srv_rate,0.8972878671625756
dst_host_rerror_rate,0.8307722294214376
dst_host_same_srv_rate,0.7363411565724897
dst_host_count,0.5688174139434152
srv_diff_host_rate,0.5567542659107556
dst_host_diff_srv_rate,0.5024041763543281
srv_serror_rate,0.4400937551300138
srv_rerror_rate,0.2538314071001302
diff_srv_rate,0.24640783420593462
dst_host_srv_rerror_rate,0.17993942160793236
rerror_rate,0.12253887810984651
serror_rate,0.05645659277858041
